id,Titel,Body,Kategorie,Datum,Quelle
19,FPÖ warnt: Föhnsturm weht Familienbeihilfe ins Ausland,"Ein ausländischer Föhnsturm ist vergangene Nacht über Österreich gefegt und hat massive Schäden angerichtet. Österreichische Familienbeihilfe in Höhe von mehreren Millionen Euro wurden nach Erkenntnissen des Innenministeriums illegal ins Ausland verweht. Die FPÖ kündigt Konsequenzen an. 
„I bin heut aufgewacht, und mir hobn 114 Euro im Börserl gfehlt”, schildert die vom Unwetter betroffene Jungmutter Anita F. (22). Laut Regierungsaussendung im Krone-Forum sei das Geld vom Sturm ins Ausland geweht worden. „Na super, I wollt mir von der Familienbeihilfe für mei dreimonatige Tochter grad vier Stangen rote Gauloises kaufen. Jetzt gibt sicher irgend so a Kopftuch-Islamerin mei hiesiges Geld für unnötigen Blödsinn aus.“
FPÖ-Sonderermittler Johann Gudenus ist schockiert vom Ausmaß der Zerstörung: „Es ist kein Zufall, dass wir für die Indexierung der Familienbeihilfe kritisiert werden und plötzlich taucht dieser Föhnsturm auf, der unseren Österreichern das Geld aus dem Börserl weht.
Verschwörung vermutet
Die FPÖ ist inzwischen der Meinung, dass der Klimawandel Schuld an den Wetterkapriolen sei: „Das Wetter ist vom Menschen gemacht. Genauer gesagt, von George Soros“, so Gudenus.


Er hat schon eine Vermutung, woher der Wind weht: von der Ostküste. Er fordert den „Weltjüdischen Kongress zur Kontrolle des globalen Wetters“ auf, die Stürme sofort einzustellen. Außerdem verlangt er eine Stellungnahme zu Vorwürfen, der Föhnsturm wird von George Soros per VR-Brille gesteuert. Dies legte zuvor eine unabhängige Untersuchung des Hundefrisörs der Traumdeuterin von Gudenus nahe.
Innenminister Herbert Kickl ist für eine Stellungnahme derzeit nicht erreichbar. Er wurde gestern am Heimweg von einer leichten Windböe in seinem Heliumluftballon erfasst und ins Mittelmeer geweht.






",Politik,2018-10-30 13:38:07,Reuters
20,Merkel-Rückzug: Unbekannte Nachwuchshoffnung Horst Kurz will CDU übernehmen,"Nach dem Abtritt von Angela Merkel als CDU-Chefin überschlagen sich in Berlin die Ereignisse. Die bisher unbekannte Nachwuchshoffnung Horst Kurz (32) könnte Jens Spahn und Friedrich Merz ausstechen und die angeschlagene Partei übernehmen. Doch noch lässt sich das Jungtalent von den Parteigranden bitten. 
„Wir müssen endlich von der AfD lernen und sie so weit rechts überholen, dass wir dabei den Seitenspiegel von unserem Knorkemobil volle Kanne an der Mittelleitplanke abschlagen“, so Horst Kurz lächelnd. Er betont jedoch, „bis jetzt natürlich keine Ambitionen zur Übernahme der CDU gehabt zu haben“, während er in seinem Büro die Umzugskartons packt.
Bedingungen
Hinter den Kulissen sind die Verhandlungen aber längst angelaufen. Die Bedingungen für eine Parteiübernahme: Horst Kurz verlangt volles Durchgriffsrecht, eine Änderung der Parteistatuten und die Umbenennung der Partei in „Liste Horst – Die neue Union“.
Wähler begeistert
Laut einer ersten Umfrage können sich 40% der Deutschen vorstellen können, Horst Kurz zu wählen. „Wir müssen der hässlichen Fratze der AfD etwas Neues gegenüberstellen. Endlich hat Ausländerfeindlichkeit wieder eine sehr schöne, glattrasierte und supersanfte Babyfratze“, zeigt sich IT-Techniker Michael Nanut aus Duisburg begeistert.


Bei einer Pressekonferenz will Horst Kurz heute erstmals öffentlich Stellung nehmen und in der ARD-Tagesschau weitere Details verschweigen.

",Welt,2018-10-29 14:17:22,Reuters
21,Lokalaugenschein: Die Tagespresse bei der Leistungsschau des Bundesheeres,"Gänsehaut-Feeling am Heldenplatz. Unter der Anwesenheit von Verteidigungsminister Kunasek und Vize-Kanzler Strache spielt die österreichische Militärkapelle die deutsche Bundeshymne. Die Leistungsschau ist eröffnet.
Beinahe unbemerkt fährt ein kleines schwarzes Matchbox-Auto vor. Das Uber von Innenminister Kickl kommt endlich an. In einer Ansprache verspricht er eine engere Zusammenarbeit zwischen Polizei und Heer. Dann lässt er ein Pferd per Gabelstapler in ein Eurofighter-Cockpit hieven. Die Zuseher applaudieren, während das Pferd die Triebwerke aktiviert und wegfliegt.
Bundeskanzler Sebastian Kurz schafft es heute nicht rechtzeitig und sagt ab. Er konnte auf Checkfelix keine Economy-Class-Flugtickets für die Reise von Meidling zum Heldenplatz mehr finden.
Kleiner Zwischenfall: Einige Volksschüler, die gerade noch auf einem Panzer gespielt haben, setzen diesen unabsichtlich in Bewegung. Vier Divisionen des Bundesheeres und mehrere Hubschrauberstaffeln und Gebirgsjäger nehmen die Verfolgung auf. Die Volksschüler erweisen sich am Ende als übermächtiger Gegner und entkommen.


Gerüchte machen die Runde, wonach FPÖ-Stratege Herbert Kickl mit dem Abspielen der deutschen Hymne nicht glücklich war. Er sei weiterhin für die österreichische Version, aber mit neuem Text: „Irgendwas, wo man sich sofort angesprochen fühlt. Land der Zwerge, Land der Gnome oder so was.“

Der Wine-Master 3000. Österreichs Armee ist stolz auf diese neue hochmoderne Ausrüstung, die im Krisenfall jeden Soldat mit bis zu drei Dopplern pro Tag versorgen kann.




Erheiterndes Missverständnis um Bundespräsident Alexander Van der Bellen. Dieser geht zu einem Unteroffizier und fragt: „Feuer?“ Kurz, bevor dieser den Wunsch des Oberbefehlshabers ausführt und das Feuer auf eine japanische Reisegruppe eröffnet, löst sich die lustige Verwirrung auf.
Besucherin Lilli Licka aus Wien zeigt sich begeistert vom Infostand der Frauen beim Bundesheer: „Wir leben in einer freien, gleichberechtigten Welt. Auch Frauen haben das Recht, ihr Leben als nationalistische Waffennarren zu vergeuden.“
Auch Heinz-Christian Strache darf selbst anpacken. „Ich helfe hier mit, unser Heer gegen Cyberattacken zu schützen“, sagt Strache, während er einen Panzer in Alufolie einwickelt.
*** ZWISCHENFALL *** Schüsse hallen über den Heldenplatz. Panik bricht aus. Erlaubt sich ein Grundwehrdiener einen makabren Scherz? Nach wenigen Minuten folgt die Entwarnung: Die Schüsse dringen nur aus der nahegelegenen SPÖ-Zentrale in der Löwelstraße, wo sich gerade das Parteipräsidium zur freundschaftlichen Aussprache trifft.
Wie jedes Jahr springen Fallschirmjäger des Jagdkommandos von oben herab. Aus Kostengründen musste das Bundesheer heuer jedoch die Fallschirme einsparen. Der freie Fall der Soldaten wird von den Kartonflügeln der am Heldenplatz stehenden Eurofighter sanft abgebremst.
Kinder dürfen gratis Leckerlis an die Kampfhundestaffel des Militärs austeilen. „Vielen Dank. Mmmm lecker schmecker wuff wuff“, bedankt sich Harald Vilismky freundlich bei Jenny (7) aus Hollabrunn.
Sonnenuntergang. Die Zuseher ziehen ab. Die Eurofighter werden wieder eingerollt. Soldaten schießen in die Luft, um Van Der Bellen zu wecken und nach Hause zu schicken. Auch Verteidigungsminister Kunasek zieht eine positive Bilanz: „Das war ein sehr gelungener letzter Nationalfeiertag. Und wenn alles nach Plan verläuft, feiern wir dann nächstes Jahr um diese Zeit bereits den Tag der russischen Einheit!“

",Politik,2018-10-26 11:07:32,Reuters
22,"Unleistbares Eigentum, teure Mieten, wohnen bei Eltern: Neues „Monopoly“ für Millennials erscheint","Der beliebte Brettspiel-Klassiker „Monopoly“ erscheint in einer neuen Version. Mit der „Milliennial-Edition“ möchte Hersteller Hasbro das Spiel neuen Gegebenheiten der Gesellschaft anpassen und vor allem bei jungen Erwachsenen punkten.
„Das originale Spielkonzept beruht auf der veralteten Idee, dass jeder die gleichen Startvoraussetzungen hat und es mit etwas Geschick zur eigenen Immobilie bringen kann. Mit diesem Hirngespinst räumen wir jetzt auf“, erklärt Sprecher Arnold Tobolka der Tagespresse.
Lustige Hürden
Bereits zu Spielstart sind alle Grundstücke im Besitz von Immo-Spekulanten, Hedgefonds und René Benko. Als Startkapital erhält jeder die durchschnittlichen Lebensersparnisse eines Millennials von 31 Euro und vier seltenen Magic-Karten, welche aber schon im ersten Spielzug als Anzahlung für eine Maklerprovision wieder ausgegeben werden müssen.
Fortan versuchen alle Spieler, eine Mietwohnung zu finden, welche sie mit ihrem Job als Barista, Social Media Manager oder Start-Up-Entrepreneur (freier Foodblogger) finanzieren können. Bei jedem Passieren des Startfeldes erleidet man einen Reallohnverlust von 10 Prozent, während Mieten und Betriebskosten um 20 Prozent steigen.


Neue Ereigniskarten
Besonderes Augenmerk wurde auf die Ereigniskarten gelegt. Diese enthalten realitätsnahe Texte wie: „Oh nein! Eine Horde Hipster-Kunststudenten mit betuchten Bobo-Eltern hat dein Grätzl gentrifiziert. Die Mieten steigen um 150 Prozent“, oder „Du wirst von einem mafiösen Immobilienentwickler aus deiner befristeten Erdgeschoss-Garconniere am Wiener Gürtel geekelt, damit er das Gründerzeithaus abreißen und Vorsorge-Wohnungen um 6.000 Euro pro m² errichten kann. Ziehe wieder bei deinen Eltern ein.“
Das gefürchtete Gefängnis-Feld wurde durch das Feld „Soziale Isolation“ ersetzt. Landet ein Spieler auf diesem, wird er nicht mehr in den Arrest, sondern in eine Smart-Wohnung in der Seestadt Aspern gesperrt.




Lange Spieldauer
Zwar können Spieler mittels Aktionskarte auch um eine geförderte Genossenschafts- oder Gemeindewohnung ansuchen. Allerdings dauert es bis zu 10 Jahre, bevor man eine Wohnung erhält. Diese Wartezeit kann nur mit der seltenen roten Aktionskarte „Freundschaft“ verkürzt werden. Gewonnen hat der Spieler, der als Letzter über 80 Prozent seines Einkommens für Wohnen ausgibt, in den Privatkonkurs schlittert, delogiert und depressiv wird.
Das Brettspiel ist jetzt überall erhältlich.

",Finanzen,2018-10-25 14:36:23,Reuters
23,Entwarnung: Riesiges Bombenpaket an Kickl war nur Knallerbse,"Aufatmen im Innenministerium: Nachdem Herbert Kickl heute früh ein sehr großes, mutmaßliches Bombenpaket in seiner Post entdeckte, gibt der Entschärfungsdienst jetzt Entwarnung. Bei dem Sprengsatz handelt es sich um eine harmlose Knallerbse. Befürchtungen, die Briefbombenserie in den USA habe jetzt auch Österreich erreicht, sind damit entkräftet.
Die Knallerbse wurde von einem Bombenentschärfer untersucht und dann sachgerecht mit dem Daumen zerdrückt.
„Diesmal war es nur eine Knallerbse. Trotzdem sollten wir den Fall sehr ernst nehmen“, so Kickl. Deshalb werden sämtliche Funkstreifen mit Panzerfäusten ausgerüstet, mit denen zukünftig gefundene Knallerbsen zerstört werden können. Außerdem rekrutiert das Ministerium weitere 4.000 Polizisten, weswegen der Aufnahmetest erleichtert wird. Die verhasste Aufgabe „Schuhe binden“ wird gestrichen.
Medien schuld?
Kickl gibt jetzt Medien wie Falter, Standard und Kurier die Schuld an der Eskalation: „Sie machen gefährliche Dinge, die das Land spalten, wie etwa ‚recherchieren‘ und ‚nachhaken‘. Das motiviert extremistische Fanatiker dazu, mir Knallerbsen zu schicken.“


Vizekanzler Strache spricht Kickl seine Unterstützung aus: „Seit in meinem Büro eine Wanze gefunden wurde, bin ich ein anderer Mensch. Es wird nicht leicht, aber unser Herbert wird das schaffen.“

",Politik,2018-10-25 11:17:25,Reuters
24,„Pokémon Go“ für Vatikan: Geistliche freuen sich auf Ansturm tausender Kinder,"Mit einem Pokémon-Go-Remake sorgt der Vatikan für Aufregung: Im Spiel namens „Follow Jesus Christ Go” müssen Kinder Heilige einfangen. Das Handyspiel soll die Kleinsten begeistern und sie zu Tausenden wieder zurück in die Kirchen locken, wo sie von Geistlichen bereits vorfreudig erwartet werden.
ROM — „Dank dieser App können abertausende Kinder spielerisch ihren Glauben wiederfinden und in den Schoß der Kirche zurückkehren“, erklärt ein Vatikansprecher das interessante Spielkonzept mit leuchtenden Augen. Um die Jagd zu erleichtern, können die Kinder eigene Lockmodule freischalten, um die Monster zu finden.
Manche der lustigen Heiligen verstecken sich ganz nahe bei den Geistlichen. „Pater Claudius hat mir gerade verraten, dass sich unter seiner Kutte ein Johannes verbirgt“, ist der kleine Heinrich (8) begeistert vom Spiel.
Pädagogisch wertvoll
Mit jedem Download gibt es außerdem die kostenlose, pädagogische Lern-App „Nichts der Mama sagen“. Darin werden Kinder spielerisch angeleitet, ihre lustigen Abenteuer in den Katakomben und Beichtstühlen für sich zu behalten, „sonst ist Jesus sehr traurig“, wird gewarnt.


Spannende Turniere
Bei einem aufregenden Turnier in der Vatikan-Arena wird durch den beliebten und bewährten Spielmodus „Täter-Opfer-Umkehr“ ein Sieger ermittelt. Sollte es beim Wettkampf zu Regelverletzungen kommen, können diese per In-App-Kauf über Jahre hinweg strukturell vertuscht werden.

",Welt,2018-10-24 16:53:52,Reuters
25,Kassenreform: Der brisante Gesetzesentwurf,"
Entwurf
KASSENREFORM-GESETZ
Ministerium für Soziales
§ 1 – Die Krankenversorgung für Selbstständige und Bauern wird zusammengelegt – Rückerstattung der Arztrechnungen ab sofort nur noch für folgende Agrar-Start-ups:

hUber – Der örtliche Huber-Bauer chauffiert sie mit dem Traktor zum gewünschten Ziel
Lagerhausify – Ihr Lagerhaus in der Cloud
Saudible – 200.000 Hörbücher mit Tiergeräuschen, Todesschreien, etc.
Watchapoo – Bauern erzählen, was man alles mit Jauche machen kann
ÄhrBnB – Vermietet Schlafplätze in Getreidefeldern (Achtung Lebensgefahr)

§ 2 – Arbeitgeber entlasten – Die Lohnnebenkosten werden ab sofort von den Angestellten übernommen. Bei einem Nettogehalt von 1.800 EUR pro Monat und Lohnnebenkosten von 1.650 EUR pro Monat, bleiben dadurch immer noch großzügige 150,- EUR pro Monat zum Leben übrig.


§ 3 – Leistungen der AUVA – Unfälle sind ab sofort privat zu bezahlen. Ausnahmen: Muskelverhärtungen durch zu häufiges nach unten Treten; “Tennisarm” und Beschwerden des rechten Schultergelenks bei Burschenschaftern; Sehnenverletzungen durch zu heftiges Abschieben; Zahnschäden durch Sozifressen.
Achtung: Sozialdemokraten, über die drüber gefahren wird, müssen die Kosten selbst tragen.
§ 4 – Zusammenlegung der Gebietskrankenkassen – Neun GKK-Stellen werden fusioniert zu einer (Südtiroler GKK)




§ 5 – Die Privilegien der BVA bleiben erhalten – Begründung: Politiker sind bessere Menschen als das Gesindel.
§ 6 – Message Control: Die gesamte Reform ist in Presseaussendungen als “Cum-Ex-Gesetz” zu bezeichnen, damit sich keine Sau dafür interessiert.
§ 7 – Asylwerber, Minderheiten und andere Kriminelle werden von der eigens geschaffenen SSVA bestens sonderbehandelt.
Nach konservativer Schätzung ergibt sich ein Einsparungspotential von bis zu 189.000.000 Millionen Milliarden Euro. (Quellen: WU Wien Institut für bizarre Fantasiestudien sowie mehrere intensive Traumanalysen von Sebastian Kurz)
Wien, 24. Oktober 2018
XXX
Beate Hartinger-Klein


",Politik,2018-10-24 11:38:16,Reuters
26,"Krone, Falter, Die Presse & Co.: Ihr Tageshoroskop im großen Überblick","Was bringt der heutige Tag für Sie? Wir haben Ihr Tageshoroskop für Dienstag, den 23. Oktober 2018, in allen größeren heimischen Medien verglichen.

Zwillinge sollten heute einfach mal Abschalten, am besten den Adblocker. Gesundheitlich sind Sie auf der Höhe und fühlen sich bereits die ganze Woche so spritzig wie der neue FIAT 500C jetzt auch als Cabrio schon ab 12.990,-



Krebse strotzen heute vor Energie! Schieben Sie dringende Erledigungen nicht auf, sondern lieber ab. Zum Beispiel die syrische Familie im Stockwerk unter Ihnen.





Die Pollen meinen es heute zwar gut mit den Steinböcken, aber Vorsicht vor dem abendlichen Todes-Meteoritenschauer. Ab Freitag sind Ihnen die Sterne wieder gewogen, denn der Große Wagen bekommt eine Gratis-Vignette. In der Liebe bahnt sich eine Mega-Sensation an: Ihre Venus steht gerade im Aszendent Michael Ludwig. (bezahlte Anzeige)

Waagen vertrauen heute lieber nicht auf ihr Bauchgefühl, sondern nur auf die Meinung von Dr. Florian Klenk. Saturn hilft Ihnen dabei, ein Falter-Abo abzuschließen, sonst sterben Sie leider morgen.

In der liebe erwPutin Skorpion sprach vor dem UN-Sich,, , erwartet sich die PSrecherin nicht vor 2021 . (APAA)

Für Fische bietet sich heute eine gute Gelegenheit für einen Ausflug. Der Kleine Wagen steht günstig im Kreisverkehr und Landesgöttin Hanni meint es gut mit Ihnen. Nicht vergessen: Beim nächsten Vollmond unbedingt die Pflanzen gießen und die Kinder aus dem Keller stellen.

Heute sind die Wassermänner völlig aus dem Häuschen, genau wie die Punks, die sich in Ihrem schönen Zinshaus eingenistet haben. Mars und unsere türkisblaue Regierung geben Ihnen die Kraft für die polizeiliche Räumung dieser Parasiten und verjagt sie aus ihrer sozialen Hängematte.

Widder: Ihr Selbstvertrauen verleiht Ihnen heute Flügel. Ähnlich wie Red Bull, mit dem wir aber nichts zu tun haben. Uranus stärkt Ihre Gesundheit. Ähnlich wie das bei Vollmond abgefüllte Lunaqua von Red Bull, mit dem wir aber nichts zu tun haben.

Achtung Schütze, heute stehen Sie im Mittelpunkt, heute dreht sich die ganze Welt um Sie. Vergessen Sie bei Ihrem kleinen Höhenflug aber nicht, dass sich die Welt eigentlich um die Sonne dreht – und die Sonne um Christian Rainer.

Löwen aufgepasst! Heute stiehlt Ihnen jemand ihr Herz und ein Afghane die Handtasche. Tragen Sie Ihre Glock bei sich. Jupiter hilft Ihnen dabei, die richtige Person zu erschießen. Achten Sie auf Ihre Gesundheit! Die Judensterne an der US-Ostküste stehen ungünstig.

Stier: Hallo! Hilfe! Bin Innenpolitik-Redakteur beim Kurier, darf aber nicht mehr Schreiben was ich will, weil die Salomon uns alles verbietet. Melde mich deshalb hier per Horoskop: Sebastian Kurz ist gar nicht so super, wie ich immer schreiben muss. Bitte schickt jemanden in die Redaktion! Wir sind zwölf Leute. Die Chefredaktion weiß von nichts.

Jungfrauen genießen heute dank der sexzellenten “Stellung” (;)) des “Sex”tanten ihren total ver”sex”ten “Sex”tag. Gesundheit: Der Mond steht günstig! Leiden Sie unter sexy Rheuma oder sexy Darmkrebs, sollten Sie jetzt mit der Behandlung beginnen, bevor Sie Ex gehen. (Dann können Sie auch wieder zum Ex für Sex gehen)

",Leben,2018-10-23 12:34:26,Reuters
27,"Gudenus: Stadt Wien will häufigen, ausländischen Namen „Top“ auf Türschildern vertuschen","Hat die Entfernung von Namensschildern gar nichts mit der EU-Datenschutzverordnung zu tun? Der Wiener FPÖ-Chef Johann Gudenus hat für die Anonymisierung von Türschildern eine andere Theorie: Der sehr häufige, ausländische Nachname „Top“ soll durch eine Zahl ersetzt und damit die Überfremdung vertuscht werden.
WIEN – Vorbei sind die Zeiten, in denen original-österreichische Namen wie „Vilimsky“, „Strache“ oder „Lasar“ an den Wiener Gemeindebauten prangten. Gudenus zeigt fassungslos auf die Klingelschilder eines Gemeindebaus in Favoriten und sagt: „Top 1, Top 2, Top 3, Top 4, Top 5, das nimmt kein Ende.“
Geht es nach dem roten Wien, soll hier statt des laut FPÖ-Recherchen türkischen Nachnamens Top nur noch eine Zahl stehen, um geschickt die Herkunft zu verschleiern.
„Top 19, Top 20, Top 21. Da liest man keinen normalen österreichischen Namen mehr. Top 24, Top 25.“ Seine Stimme versagt. „Das ist zu viel für mich, das ist nicht mehr mein Wien, wie ich es vom Sieg über die Türkenbelagerung 1683 kenne.“ Gudenus kämpft mit den Tränen.


Gudenus vermutet, dass der arabische Großclan Top gezielt von der Wiener SPÖ einquartiert wurde, um den Multikulti-Wahnsinn zum Exzess zu treiben und autochthone Österreicher zu vertreiben.
Gegensteuern
Gudenus will gegensteuern. Die FPÖ Wien wird in den nächsten Wochen bei den Gegensprechanlagen aller 220.000 Gemeindewohnungen den entfernten Nachnamen Top wieder anbringen. Die Kosten der Aktion kann die FPÖ aus Datenschutzgründen nicht bekannt geben.






",Politik,2018-10-22 14:35:25,Reuters
28,SPÖ Kärnten empört: Katze von Peter Kaiser nur auf Platz 12 der EU-Wahlliste,"Die nächste umstrittene Personalentscheidung sorgt für Aufregung in der SPÖ. Die Katze von Peter Kaiser wurde für die EU-Wahl von Platz drei auf Platz 12 zurück gereiht. Für die Kärntner ist dies der nächste Affront nach der Rückreihung von Kaisers Sohn Luca auf Platz 9.
Katze schockt mit Tweet
Die Rückreihung folgte nach einem kontroversen Tweet von Mutzi Kaiser nach dem Tod von Heinz-Christian Straches Hündin Odi.

Die Kronen Zeitung griff den Tweet auf und berichtete. Gegenüber der Tagespresse erklärt Politexperte Filzmaier, warum Tweets Politkarrieren zerstören können: „So ein Screenshot kann von Boulevardmedien leicht skandalisiert werden und ist für jedermann lesbar. Hass, Rassismus oder frauenfeindliche Meldungen haben im Netz nichts verloren, sondern gehören nur als Zwischenrufe ins Parlament.“


Kaiser bleibt Katze treu
Der SPÖ-Landeshauptmann Kaiser ist empört und versteht die Entscheidung der Bundespartei nicht: „Meine Katze Mutzi ist durch und durch Sozialdemokrat. Sie frisst brav aus dem Futtertrog, murrt den ganzen Tag, und beißt gerne die eigene Sippe am Genick.“
Immerhin: Zumindest Peter Kaisers Meerschweinchen „Fiffi“ darf sich nach einem klärenden Telefonat mit Thomas Drozda als Listenzweiter der Wahl stellen. „Ich habe selten so eine überzeugte Sozialdemokratin erlebt“, zeigt sich Drozda beeindruckt. Im Parteipräsidium stellte Kaiser klar, dass eine Rückreihung seines Meerschweinchens für ihn eine rote Linie darstellen würden.






",Politik,2018-10-22 11:24:44,Reuters
